locus_tag,GOs
XNR_RS30570,
XNR_RS00010,
XNR_RS00015,
XNR_RS00020,
XNR_RS00025,
XNR_RS00030,
XNR_RS00035,
XNR_RS00040,
XNR_RS00045,
XNR_RS00050,
XNR_RS00055,
XNR_RS00060,
XNR_RS00065,
XNR_RS00070,
XNR_RS00075,
XNR_RS00080,
XNR_RS00085,
XNR_RS00090,
XNR_RS31480,
XNR_RS00100,
XNR_RS31485,
XNR_RS00110,
XNR_RS00115,
XNR_RS00120,
XNR_RS00125,
XNR_RS00130,
XNR_RS00135,
XNR_RS00140,
XNR_RS00145,
XNR_RS00150,
XNR_RS00155,
XNR_RS00160,
XNR_RS00165,
XNR_RS00170,
XNR_RS00175,
XNR_RS00180,
XNR_RS31495,
XNR_RS00185,
XNR_RS00190,
XNR_RS00195,
XNR_RS00200,
XNR_RS00205,
XNR_RS00210,
XNR_RS00215,
XNR_RS00220,
XNR_RS00225,
XNR_RS00230,
XNR_RS00235,
XNR_RS00240,
XNR_RS00245,
XNR_RS00250,
XNR_RS00255,
XNR_RS00260,
XNR_RS00265,
XNR_RS00270,mannosyltransferase activity
XNR_RS00270,molecular_function
XNR_RS00270,catalytic activity
XNR_RS00270,dolichyl-phosphate beta-D-mannosyltransferase activity
XNR_RS00270,cellular_component
XNR_RS00270,cell wall
XNR_RS00270,intracellular anatomical structure
XNR_RS00270,obsolete cell
XNR_RS00270,cytoplasm
XNR_RS00270,cytosol
XNR_RS00270,plasma membrane
XNR_RS00270,lipid metabolic process
XNR_RS00270,membrane lipid metabolic process
XNR_RS00270,glycolipid metabolic process
XNR_RS00270,biological_process
XNR_RS00270,metabolic process
XNR_RS00270,lipid biosynthetic process
XNR_RS00270,biosynthetic process
XNR_RS00270,glycolipid biosynthetic process
XNR_RS00270,response to external stimulus
XNR_RS00270,response to biotic stimulus
XNR_RS00270,cellular process
XNR_RS00270,membrane
XNR_RS00270,transferase activity
XNR_RS00270,glycosyltransferase activity
XNR_RS00270,hexosyltransferase activity
XNR_RS00270,external encapsulating structure
XNR_RS00270,modulation of process of another organism
XNR_RS00270,response to external biotic stimulus
XNR_RS00270,modulation by symbiont of host process
XNR_RS00270,cellular metabolic process
XNR_RS00270,primary metabolic process
XNR_RS00270,cellular biosynthetic process
XNR_RS00270,cellular lipid metabolic process
XNR_RS00270,biological process involved in symbiotic interaction
XNR_RS00270,biological process involved in interspecies interaction between organisms
XNR_RS00270,obsolete intracellular part
XNR_RS00270,obsolete cytoplasmic part
XNR_RS00270,obsolete cell part
XNR_RS00270,membrane lipid biosynthetic process
XNR_RS00270,response to stimulus
XNR_RS00270,biological process involved in interaction with host
XNR_RS00270,obsolete multi-organism process
XNR_RS00270,response to other organism
XNR_RS00270,obsolete modulation of process of other organism involved in symbiotic interaction
XNR_RS00270,modulation by symbiont of host defense response
XNR_RS00270,response to defenses of other organism
XNR_RS00270,response to host defenses
XNR_RS00270,modulation by symbiont of host defense response
XNR_RS00270,perturbation of host immune response
XNR_RS00270,perturbation of host immune response
XNR_RS00270,response to host immune response
XNR_RS00270,response to host immune response
XNR_RS00270,glycosylation
XNR_RS00270,organic substance metabolic process
XNR_RS00270,cell periphery
XNR_RS00270,response to host
XNR_RS00270,mannosylation
XNR_RS00270,carbohydrate derivative metabolic process
XNR_RS00270,carbohydrate derivative biosynthetic process
XNR_RS00270,organic substance biosynthetic process
XNR_RS00270,liposaccharide metabolic process
XNR_RS00275,
XNR_RS00280,
XNR_RS00285,
XNR_RS00290,
XNR_RS00295,
XNR_RS00300,
XNR_RS00305,
XNR_RS00310,
XNR_RS00315,
XNR_RS00320,
XNR_RS00325,
XNR_RS00330,
XNR_RS00335,
XNR_RS00340,
XNR_RS00345,
XNR_RS00350,
XNR_RS00355,
XNR_RS00360,
XNR_RS00365,
XNR_RS00370,
XNR_RS00375,
XNR_RS00380,
XNR_RS00385,
XNR_RS00390,
XNR_RS00395,
XNR_RS00400,
XNR_RS00405,
XNR_RS00410,
XNR_RS00415,
XNR_RS00420,
XNR_RS00425,
XNR_RS00430,
XNR_RS00435,
XNR_RS00440,
XNR_RS00445,
XNR_RS00450,
XNR_RS00455,
XNR_RS00460,
XNR_RS00465,
XNR_RS00470,
XNR_RS00475,
XNR_RS00480,
XNR_RS00485,
XNR_RS00490,
XNR_RS00495,
XNR_RS00500,
XNR_RS00505,
XNR_RS00510,
XNR_RS00515,
XNR_RS00520,
XNR_RS00525,
XNR_RS00530,
XNR_RS00535,molecular_function
XNR_RS00535,catalytic activity
XNR_RS00535,uracil DNA N-glycosylase activity
XNR_RS00535,nucleobase-containing compound metabolic process
XNR_RS00535,DNA metabolic process
XNR_RS00535,DNA repair
XNR_RS00535,base-excision repair
XNR_RS00535,"base-excision repair, AP site formation"
XNR_RS00535,cellular aromatic compound metabolic process
XNR_RS00535,nitrogen compound metabolic process
XNR_RS00535,response to stress
XNR_RS00535,DNA damage response
XNR_RS00535,biological_process
XNR_RS00535,metabolic process
XNR_RS00535,cellular process
XNR_RS00535,hydrolase activity
XNR_RS00535,"hydrolase activity, acting on glycosyl bonds"
XNR_RS00535,"hydrolase activity, hydrolyzing N-glycosyl compounds"
XNR_RS00535,DNA N-glycosylase activity
XNR_RS00535,cellular response to stress
XNR_RS00535,cellular nitrogen compound metabolic process
XNR_RS00535,macromolecule metabolic process
XNR_RS00535,cellular metabolic process
XNR_RS00535,primary metabolic process
XNR_RS00535,obsolete cellular macromolecule metabolic process
XNR_RS00535,heterocycle metabolic process
XNR_RS00535,response to stimulus
XNR_RS00535,cellular response to stimulus
