,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
2,Rv0013,SACI_RS06825,41.361,191,104,5,4,190,1,187,2.5299999999999998e-45,146.0,232,0.8232758620689655,<=>
37,Rv0046,SACI_RS06790,46.957,345,177,4,16,355,2,345,1.34e-106,313.0,367,0.9400544959128065,<=>
46,Rv0070,SACI_RS06495,29.144,374,248,12,24,390,22,385,4.52e-35,130.0,425,0.88,<=>
189,Rv0137,SACI_RS05575,49.032,155,73,2,7,157,4,156,2.1499999999999998e-46,146.0,182,0.8516483516483516,<=>
209,Rv0149,SACI_RS08070,30.282,284,159,8,10,264,9,282,2.9499999999999997e-24,97.1,322,0.8819875776397516,<=>
232,Rv0162,SACI_RS10375,33.053,357,222,8,32,377,10,360,1.94e-45,156.0,383,0.9321148825065274,<=>
243,Rv0163,SACI_RS06000,22.835,127,86,3,24,145,13,132,0.000235,35.0,151,0.8410596026490066,<=>
265,Rv0189,SACI_RS08190,51.366,549,260,3,27,574,14,556,0.0,543.0,575,0.9547826086956521,<=>
331,Rv0211,SACI_RS05240,33.952,539,315,16,15,549,24,525,3.05e-83,269.0,606,0.8894389438943895,<=>
368,Rv0223,SACI_RS05235,38.528,462,275,7,22,476,15,474,4.27e-98,300.0,487,0.9486652977412731,<=>
376,Rv0225,SACI_RS09185,26.455,378,246,13,6,377,2,353,9.83e-33,122.0,384,0.984375,<=>
382,Rv0230,SACI_RS10350,41.456,316,173,5,7,319,8,314,3.43e-80,243.0,326,0.9693251533742331,<=>
387,Rv0233,SACI_RS05300,39.716,282,164,3,4,281,11,290,2.8899999999999997e-67,209.0,314,0.8980891719745223,<=>
430,Rv0255,SACI_RS02015,31.417,487,289,14,4,477,3,457,4.91e-70,227.0,494,0.9858299595141701,<=>
477,Rv0306,SACI_RS01220,41.379,203,115,3,10,209,3,204,1.9e-47,152.0,223,0.9103139013452914,<=>
479,Rv0317,SACI_RS10470,22.689,238,151,8,10,238,2,215,1.49e-08,49.7,256,0.9296875,<=>
480,Rv0319,SACI_RS08515,27.67,206,141,4,4,208,3,201,4.520000000000001e-27,99.4,222,0.9279279279279279,<=>
481,Rv0321,SACI_RS03775,30.939,181,113,5,1,181,1,169,1.93e-20,80.1,190,0.9526315789473684,<=>
488,Rv0331,SACI_RS01620,25.069,363,240,10,1,348,1,346,1.6999999999999998e-30,116.0,388,0.9355670103092784,<=>
503,Rv0357,SACI_RS03375,25.728,412,211,10,5,415,4,321,1.64e-35,130.0,432,0.9537037037037037,<=>
