,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
177,XNR_RS00145,PA4466,43.333,90,51,0,1,90,1,90,1.19e-17,68.6,92,0.9782608695652174,<=>
203,XNR_RS00250,PA3749,41.055,436,242,5,9,440,12,436,3.8199999999999997e-84,263.0,475,0.9178947368421052,<=>
218,XNR_RS00260,PA2003,43.359,256,137,4,17,266,3,256,3.1600000000000003e-58,184.0,266,0.9624060150375939,<=>
276,XNR_RS00300,PA3022,42.647,272,145,4,6,274,4,267,2.3599999999999998e-61,193.0,289,0.9411764705882353,<=>
281,XNR_RS00325,PA1061,60.458,349,138,0,13,361,5,353,4.81e-153,433.0,365,0.9561643835616438,<=>
288,XNR_RS00350,PA3532,39.831,354,194,6,28,374,10,351,1.21e-56,188.0,405,0.8740740740740741,<=>
357,XNR_RS00405,PA2951,44.569,267,135,4,52,315,53,309,4.9e-57,184.0,320,0.834375,<=>
359,XNR_RS00410,PA2952,32.52,246,155,5,3,246,1,237,1.3099999999999999e-23,93.6,261,0.9425287356321839,<=>
367,XNR_RS00430,PA5413,45.428,339,182,3,19,355,8,345,3.94e-84,256.0,356,0.952247191011236,<=>
385,XNR_RS00445,PA2990,37.339,233,132,3,4,222,3,235,4.22e-34,120.0,233,1.0,<=>
402,XNR_RS00510,PA2938,52.657,414,193,2,21,431,2,415,3.5199999999999997e-141,411.0,465,0.8903225806451613,<=>
407,XNR_RS00520,PA3723,55.833,360,151,4,1,358,1,354,1.1e-136,391.0,358,1.005586592178771,<=>
417,XNR_RS00530,PA1356,39.402,368,200,9,6,356,5,366,2.37e-70,222.0,361,1.0193905817174516,<=>
420,XNR_RS00550,PA4204,33.721,344,188,13,12,325,32,365,5.22e-36,132.0,344,1.0,<=>
438,XNR_RS00590,PA3028,35.849,371,217,11,29,390,42,400,5.61e-43,152.0,393,0.9440203562340967,<=>
441,XNR_RS00595,PA3870,42.958,284,159,3,11,293,5,286,4.99e-64,203.0,335,0.8477611940298507,<=>
451,XNR_RS00615,PA5179,35.374,294,181,3,1,292,1,287,1.23e-38,135.0,309,0.9514563106796117,<=>
530,XNR_RS00645,PA2091,33.416,401,248,6,13,401,31,424,2.48e-36,135.0,422,0.9502369668246445,<=>
700,XNR_RS00710,PA0792,26.452,465,286,16,43,473,38,480,7.890000000000001e-21,92.8,502,0.9262948207171314,<=>
702,XNR_RS00715,PA0796,48.432,287,143,3,1,285,1,284,2.42e-84,253.0,301,0.9534883720930233,<=>
706,XNR_RS00720,PA0795,44.11,365,193,4,11,372,11,367,4.6599999999999997e-91,276.0,391,0.9335038363171355,<=>
709,XNR_RS00725,PA3591,44.615,260,135,6,6,260,3,258,6.3400000000000005e-58,183.0,267,0.9737827715355806,<=>
725,XNR_RS00730,PA0743,51.004,249,119,1,3,248,2,250,6.86e-63,198.0,298,0.8355704697986577,<=>
730,XNR_RS00735,PA0744,40.057,352,192,6,11,344,15,365,5.77e-59,192.0,355,0.9915492957746479,<=>
742,XNR_RS00740,PA0746,59.358,374,152,0,6,379,5,378,1.75e-148,422.0,382,0.9790575916230366,<=>
774,XNR_RS00745,PA0130,56.566,495,213,2,13,506,4,497,0.0,558.0,507,0.9763313609467456,<=>
819,XNR_RS00770,PA1726,32.432,666,393,17,140,774,117,756,9.73e-86,286.0,808,0.8242574257425742,<=>
834,XNR_RS00795,PA5286,25.833,120,87,2,23,140,19,138,7.18e-05,37.7,140,0.8571428571428571,<=>
835,XNR_RS00800,PA3443,47.083,240,127,0,52,291,17,256,3.85e-74,225.0,293,0.8191126279863481,<=>
854,XNR_RS00805,PA3442,55.319,235,93,4,37,263,20,250,6.89e-71,217.0,271,0.8671586715867159,<=>
953,XNR_RS00810,PA2596,39.175,291,169,4,45,333,27,311,2.55e-58,189.0,348,0.8362068965517241,<=>
961,XNR_RS00815,PA2356,54.821,363,146,3,3,363,1,347,3.19e-127,369.0,388,0.9355670103092784,<=>
1067,XNR_RS00840,PA4772,37.864,927,540,13,60,974,30,932,0.0,563.0,978,0.9478527607361963,<=>
1244,XNR_RS00955,PA2343,40.233,430,234,9,8,415,10,438,4.76e-78,249.0,476,0.9033613445378151,<=>
1249,XNR_RS00960,PA3789,29.701,468,282,9,39,481,14,459,4.85e-42,153.0,496,0.9435483870967742,<=>
1352,XNR_RS01055,PA3595,55.505,436,189,4,6,438,9,442,1.4399999999999998e-170,484.0,444,0.9819819819819819,<=>
1377,XNR_RS01065,PA5029,43.346,263,145,3,1,260,1,262,3.3e-60,191.0,301,0.8737541528239202,<=>
1476,XNR_RS01070,PA0226,54.225,284,123,2,1,284,7,283,8.15e-106,307.0,303,0.9372937293729373,<=>
1477,XNR_RS01075,PA0227,44.215,242,130,3,22,260,5,244,4.81e-63,196.0,270,0.8962962962962963,<=>
1479,XNR_RS01080,PA1628,45.272,497,264,5,3,494,7,500,3.41e-122,365.0,506,0.9822134387351779,<=>
1518,XNR_RS01090,PA5430,44.751,362,188,6,59,414,36,391,2.16e-74,235.0,426,0.8497652582159625,<=>
1520,XNR_RS01105,PA0882,53.807,394,178,2,6,397,7,398,5.83e-139,400.0,403,0.9776674937965261,<=>
1526,XNR_RS01120,PA4171,47.727,176,92,0,9,184,10,185,1.47e-53,166.0,184,0.9565217391304348,<=>
1629,XNR_RS01175,PA3938,35.577,312,183,6,14,317,11,312,7.11e-44,151.0,338,0.9230769230769231,<=>
1657,XNR_RS01220,PA3301,38.796,299,174,7,17,311,8,301,2.77e-54,177.0,315,0.9492063492063492,<=>
1771,XNR_RS01340,PA2678,24.906,265,187,3,49,311,10,264,4.23e-12,62.8,313,0.8466453674121406,<=>
1774,XNR_RS01370,PA0397,45.192,312,158,3,1,312,1,299,7.04e-76,232.0,312,1.0,<=>
1794,XNR_RS01405,PA5201,63.218,783,254,6,8,783,3,758,0.0,949.0,807,0.9702602230483272,<=>
1918,XNR_RS01465,PA1737,58.462,715,292,4,10,724,5,714,0.0,803.0,726,0.9848484848484849,<=>
1939,XNR_RS01470,PA1736,66.915,402,131,2,3,404,2,401,0.0,548.0,404,0.995049504950495,<=>
1951,XNR_RS01475,PA1187,55.026,378,169,1,1,378,1,377,3.8699999999999995e-152,432.0,380,0.9947368421052631,<=>
1978,XNR_RS01480,PA1188,39.418,378,212,5,6,367,1,377,1.44e-72,228.0,371,1.0188679245283019,<=>
1983,XNR_RS01485,PA0312,49.645,141,70,1,5,144,4,144,7.37e-32,109.0,150,0.94,<=>
2223,XNR_RS01705,PA2271,38.182,165,101,1,2,165,4,168,7.870000000000001e-27,97.1,168,0.9821428571428571,<=>
