gene_id,gene_name,eggNOG_OGs,Description,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,accession,old_locus_tag,start,end,strand,gene_product,COG,operon
XNR_RS30570,XNR_RS30570,"COG1672@1|root,COG1672@2|Bacteria",-,-,-,-,-,-,-,-,-,-,-,-,"AAA_22,TIR_2,TniB",NC_020990.1,XNR_0001,536,1609,-,hypothetical protein,-,Op0
XNR_RS00010,XNR_RS00010,"COG3935@1|root,COG3935@2|Bacteria,2IDRB@201174|Actinobacteria",DnaD domain protein,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,,3324,3533,-,hypothetical protein,"Replication, recombination and repair",Op2
XNR_RS00015,XNR_RS00015,"28PSB@1|root,2ZCDV@2|Bacteria,2GNDZ@201174|Actinobacteria",DDE superfamily endonuclease,-,-,-,-,-,-,-,-,-,-,-,"DDE_Tnp_1,DDE_Tnp_4,HTH_Tnp_4",NC_020990.1,XNR_0003,3671,4441,-,IS5-like element IS112 family transposase,Function unknown,Op3
XNR_RS00020,XNR_RS00020,"2AKX1@1|root,31BQI@2|Bacteria,2GNMY@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_0004,4485,5069,-,hypothetical protein,-,Op4
XNR_RS00025,XNR_RS00025,"COG2944@1|root,COG2944@2|Bacteria,2GM0F@201174|Actinobacteria",sequence-specific DNA binding,-,-,-,-,-,-,-,-,-,-,-,"DnaB_C,HTH_3,HTH_31",NC_020990.1,XNR_0005,5066,5983,-,dihydrolipoamide S-succinyltransferase,Transcription,Op4
XNR_RS00030,XNR_RS00030,"COG2304@1|root,COG2304@2|Bacteria,2GM76@201174|Actinobacteria",lactoylglutathione lyase activity,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_0006,6989,8029,-,vWA domain-containing protein,Amino acid transport and metabolism,Op5
XNR_RS00035,XNR_RS00035,"COG0824@1|root,COG0824@2|Bacteria,2ISIV@201174|Actinobacteria",Thioesterase-like superfamily,-,-,ko:K07107,-,-,-,-,"ko00000,ko01000",-,-,-,4HBT_2,NC_020990.1,XNR_0007,8193,8672,-,thioesterase family protein,Function unknown,Op6
XNR_RS00040,lcdH,"COG1250@1|root,COG1250@2|Bacteria,2GNXI@201174|Actinobacteria",3-hydroxyacyl-CoA dehydrogenase,-,1.1.1.108,ko:K17735,-,-,-,-,"ko00000,ko01000",-,-,-,"3HCDH,3HCDH_N",NC_020990.1,XNR_0008,8669,9700,-,3-hydroxyacyl-CoA dehydrogenase NAD-binding domain-containing protein,Lipid transport and metabolism,Op6
XNR_RS00045,XNR_RS00045,"COG3246@1|root,COG3246@2|Bacteria,2I9EQ@201174|Actinobacteria",beta-keto acid cleavage enzyme,-,-,-,-,-,-,-,-,-,-,-,BKACE,NC_020990.1,XNR_0009,9728,10621,-,3-keto-5-aminohexanoate cleavage protein,Transcription,Op6
XNR_RS00050,XNR_RS00050,"COG1309@1|root,COG1309@2|Bacteria",transcriptional regulator,-,-,-,-,-,-,-,-,-,-,-,"BetR,HTH_3,HTH_31,TetR_C_6,TetR_N",NC_020990.1,XNR_0010,10691,11548,-,TetR family transcriptional regulator C-terminal domain-containing protein,Transcription,Op7
