,locus_tag,GOs
54,XNR_RS00270,mannosyltransferase activity
55,XNR_RS00270,molecular_function
56,XNR_RS00270,catalytic activity
57,XNR_RS00270,dolichyl-phosphate beta-D-mannosyltransferase activity
58,XNR_RS00270,cellular_component
59,XNR_RS00270,cell wall
60,XNR_RS00270,intracellular anatomical structure
61,XNR_RS00270,obsolete cell
62,XNR_RS00270,cytoplasm
63,XNR_RS00270,cytosol
64,XNR_RS00270,plasma membrane
65,XNR_RS00270,lipid metabolic process
66,XNR_RS00270,membrane lipid metabolic process
67,XNR_RS00270,glycolipid metabolic process
68,XNR_RS00270,biological_process
69,XNR_RS00270,metabolic process
70,XNR_RS00270,lipid biosynthetic process
71,XNR_RS00270,biosynthetic process
72,XNR_RS00270,glycolipid biosynthetic process
73,XNR_RS00270,response to external stimulus
74,XNR_RS00270,response to biotic stimulus
75,XNR_RS00270,cellular process
76,XNR_RS00270,membrane
77,XNR_RS00270,transferase activity
78,XNR_RS00270,glycosyltransferase activity
79,XNR_RS00270,hexosyltransferase activity
80,XNR_RS00270,external encapsulating structure
81,XNR_RS00270,modulation of process of another organism
82,XNR_RS00270,response to external biotic stimulus
83,XNR_RS00270,modulation by symbiont of host process
84,XNR_RS00270,cellular metabolic process
85,XNR_RS00270,primary metabolic process
86,XNR_RS00270,cellular biosynthetic process
87,XNR_RS00270,cellular lipid metabolic process
88,XNR_RS00270,biological process involved in symbiotic interaction
89,XNR_RS00270,biological process involved in interspecies interaction between organisms
90,XNR_RS00270,obsolete intracellular part
91,XNR_RS00270,obsolete cytoplasmic part
92,XNR_RS00270,obsolete cell part
93,XNR_RS00270,membrane lipid biosynthetic process
94,XNR_RS00270,response to stimulus
95,XNR_RS00270,biological process involved in interaction with host
96,XNR_RS00270,obsolete multi-organism process
97,XNR_RS00270,response to other organism
98,XNR_RS00270,obsolete modulation of process of other organism involved in symbiotic interaction
99,XNR_RS00270,modulation by symbiont of host defense response
100,XNR_RS00270,response to defenses of other organism
101,XNR_RS00270,response to host defenses
102,XNR_RS00270,modulation by symbiont of host defense response
103,XNR_RS00270,perturbation of host immune response
104,XNR_RS00270,perturbation of host immune response
105,XNR_RS00270,response to host immune response
106,XNR_RS00270,response to host immune response
107,XNR_RS00270,glycosylation
108,XNR_RS00270,organic substance metabolic process
109,XNR_RS00270,cell periphery
110,XNR_RS00270,response to host
111,XNR_RS00270,mannosylation
112,XNR_RS00270,carbohydrate derivative metabolic process
113,XNR_RS00270,carbohydrate derivative biosynthetic process
114,XNR_RS00270,organic substance biosynthetic process
115,XNR_RS00270,liposaccharide metabolic process
168,XNR_RS00535,molecular_function
169,XNR_RS00535,catalytic activity
170,XNR_RS00535,uracil DNA N-glycosylase activity
171,XNR_RS00535,nucleobase-containing compound metabolic process
172,XNR_RS00535,DNA metabolic process
173,XNR_RS00535,DNA repair
174,XNR_RS00535,base-excision repair
175,XNR_RS00535,"base-excision repair, AP site formation"
176,XNR_RS00535,cellular aromatic compound metabolic process
177,XNR_RS00535,nitrogen compound metabolic process
178,XNR_RS00535,response to stress
179,XNR_RS00535,DNA damage response
180,XNR_RS00535,biological_process
181,XNR_RS00535,metabolic process
182,XNR_RS00535,cellular process
183,XNR_RS00535,hydrolase activity
184,XNR_RS00535,"hydrolase activity, acting on glycosyl bonds"
185,XNR_RS00535,"hydrolase activity, hydrolyzing N-glycosyl compounds"
186,XNR_RS00535,DNA N-glycosylase activity
187,XNR_RS00535,cellular response to stress
188,XNR_RS00535,cellular nitrogen compound metabolic process
189,XNR_RS00535,macromolecule metabolic process
190,XNR_RS00535,cellular metabolic process
191,XNR_RS00535,primary metabolic process
192,XNR_RS00535,obsolete cellular macromolecule metabolic process
193,XNR_RS00535,heterocycle metabolic process
194,XNR_RS00535,response to stimulus
195,XNR_RS00535,cellular response to stimulus
196,XNR_RS00535,organic substance metabolic process
197,XNR_RS00535,nucleic acid metabolic process
198,XNR_RS00535,deaminated base DNA N-glycosylase activity
199,XNR_RS00535,"base-excision repair, AP site formation via deaminated base removal"
200,XNR_RS00535,"catalytic activity, acting on DNA"
201,XNR_RS00535,organic cyclic compound metabolic process
206,XNR_RS00560,molecular_function
207,XNR_RS00560,catalytic activity
208,XNR_RS00560,transporter activity
209,XNR_RS00560,P-type calcium transporter activity
210,XNR_RS00560,cellular_component
211,XNR_RS00560,cell wall
212,XNR_RS00560,intracellular anatomical structure
213,XNR_RS00560,obsolete cell
214,XNR_RS00560,cytoplasm
215,XNR_RS00560,cytosol
216,XNR_RS00560,plasma membrane
217,XNR_RS00560,plasma membrane
218,XNR_RS00560,transport
219,XNR_RS00560,monoatomic ion transport
220,XNR_RS00560,monoatomic cation transport
221,XNR_RS00560,calcium ion transport
222,XNR_RS00560,biological_process
223,XNR_RS00560,monoatomic cation transmembrane transporter activity
224,XNR_RS00560,monoatomic ion transmembrane transporter activity
225,XNR_RS00560,calcium ion transmembrane transporter activity
226,XNR_RS00560,inorganic molecular entity transmembrane transporter activity
227,XNR_RS00560,primary active transmembrane transporter activity
228,XNR_RS00560,ATPase-coupled transmembrane transporter activity
229,XNR_RS00560,P-type ion transporter activity
230,XNR_RS00560,membrane
231,XNR_RS00560,membrane
232,XNR_RS00560,pyrophosphatase activity
233,XNR_RS00560,hydrolase activity
234,XNR_RS00560,"hydrolase activity, acting on acid anhydrides"
235,XNR_RS00560,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"
236,XNR_RS00560,ATP hydrolysis activity
237,XNR_RS00560,ribonucleoside triphosphate phosphatase activity
238,XNR_RS00560,ATPase-coupled monoatomic cation transmembrane transporter activity
239,XNR_RS00560,active transmembrane transporter activity
240,XNR_RS00560,active monoatomic ion transmembrane transporter activity
241,XNR_RS00560,transmembrane transporter activity
242,XNR_RS00560,inorganic cation transmembrane transporter activity
243,XNR_RS00560,metal ion transport
244,XNR_RS00560,external encapsulating structure
245,XNR_RS00560,obsolete intrinsic component of membrane
246,XNR_RS00560,obsolete intrinsic component of plasma membrane
247,XNR_RS00560,monoatomic ion transmembrane transport
248,XNR_RS00560,ATP hydrolysis activity
249,XNR_RS00560,ATPase-coupled ion transmembrane transporter activity
250,XNR_RS00560,ATPase-coupled transmembrane transporter activity
251,XNR_RS00560,organelle
252,XNR_RS00560,membrane-bounded organelle
253,XNR_RS00560,intracellular organelle
254,XNR_RS00560,intracellular membrane-bounded organelle
255,XNR_RS00560,ATPase-coupled transmembrane transporter activity
256,XNR_RS00560,obsolete intracellular part
257,XNR_RS00560,obsolete membrane part
258,XNR_RS00560,obsolete cytoplasmic part
259,XNR_RS00560,obsolete plasma membrane part
260,XNR_RS00560,obsolete cell part
261,XNR_RS00560,metal ion transmembrane transporter activity
262,XNR_RS00560,localization
263,XNR_RS00560,establishment of localization
264,XNR_RS00560,transmembrane transport
265,XNR_RS00560,calcium ion transmembrane transport
266,XNR_RS00560,metal ion transport
267,XNR_RS00560,cell periphery
268,XNR_RS00560,inorganic cation transmembrane transport
