,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
2,Rv0002,STM3837,27.99,393,251,9,13,400,1,366,3.14e-36,133.0,402,0.9776119402985075,<=>
3,Rv0003,STM3836,26.849,365,233,9,1,359,1,337,2.21e-25,102.0,385,0.948051948051948,<=>
7,Rv0006,STM2272,45.624,857,422,7,15,834,8,857,0.0,751.0,838,1.022673031026253,<=>
9,Rv0009,STM0536,33.333,180,88,7,17,182,2,163,3.66e-19,77.4,182,0.989010989010989,<=>
11,Rv0013,STM3469,49.733,187,91,2,3,189,2,185,1.4000000000000001e-59,183.0,232,0.8060344827586207,<=>
36,Rv0038,STM3096,27.273,165,105,3,24,178,7,166,6.87e-14,64.3,202,0.8168316831683168,<=>
37,Rv0041,STM0648,37.244,929,453,21,69,969,33,859,0.0,544.0,969,0.9587203302373581,<=>
64,Rv0056,STM4394,39.474,152,88,4,1,151,1,149,1.82e-24,89.7,152,1.0,<=>
80,Rv0069,STM3240,50.766,457,213,7,3,454,2,451,9.24e-139,403.0,461,0.9913232104121475,<=>
83,Rv0070,STM2555,53.846,416,183,4,7,419,7,416,5.72e-149,426.0,425,0.9788235294117648,<=>
88,Rv0073,STM0511,31.138,334,199,10,4,312,2,329,4.84e-39,138.0,330,1.0121212121212122,<=>
206,Rv0091,STM0207,28.629,248,153,5,3,249,1,225,1.24e-22,90.1,255,0.9725490196078431,<=>
266,Rv0113,STM3266,37.566,189,112,3,11,196,9,194,2.34e-35,120.0,196,0.9642857142857143,<=>
270,Rv0117,STM2424,28.904,301,188,8,3,297,5,285,4.55e-20,85.9,314,0.9585987261146497,<=>
389,Rv0157,STM1480,43.305,478,243,8,6,475,5,462,1.01e-117,350.0,475,1.0063157894736843,<=>
422,Rv0181,STM3544,36.207,232,142,3,5,235,2,228,6.3e-43,142.0,244,0.9508196721311475,<=>
427,Rv0186,STM2166,28.245,701,422,22,29,677,87,758,2.8800000000000002e-64,224.0,691,1.0144717800289436,<=>
429,Rv0189,STM3531,40.078,514,274,10,40,533,20,519,2.31e-101,315.0,575,0.8939130434782608,<=>
432,Rv0191,STM1522,30.685,365,237,4,11,371,2,354,4.9e-34,128.0,413,0.8837772397094431,<=>
438,Rv0194,STM2774,37.659,1179,695,10,26,1175,34,1201,0.0,678.0,1194,0.9874371859296482,<=>
