locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,operon
XNR_RS30570,XNR_RS30570,NC_020990.1,XNR_0001,536,1609,-,hypothetical protein,-,Op0
XNR_RS00005,XNR_RS00005,NC_020990.1,,1681,1908,-,hypothetical protein,X,Op1
XNR_RS00010,XNR_RS00010,NC_020990.1,,3324,3533,-,hypothetical protein,L,Op2
XNR_RS00015,XNR_RS00015,NC_020990.1,XNR_0003,3671,4441,-,IS5-like element IS112 family transposase,S,Op3
XNR_RS00020,XNR_RS00020,NC_020990.1,XNR_0004,4485,5069,-,hypothetical protein,-,Op4
XNR_RS00025,XNR_RS00025,NC_020990.1,XNR_0005,5066,5983,-,dihydrolipoamide S-succinyltransferase,K,Op4
XNR_RS00030,XNR_RS00030,NC_020990.1,XNR_0006,6989,8029,-,vWA domain-containing protein,E,Op5
XNR_RS00035,XNR_RS00035,NC_020990.1,XNR_0007,8193,8672,-,thioesterase family protein,S,Op6
XNR_RS00040,XNR_RS00040,NC_020990.1,XNR_0008,8669,9700,-,3-hydroxyacyl-CoA dehydrogenase NAD-binding domain-containing protein,I,Op6
XNR_RS00045,XNR_RS00045,NC_020990.1,XNR_0009,9728,10621,-,3-keto-5-aminohexanoate cleavage protein,K,Op6
XNR_RS00050,XNR_RS00050,NC_020990.1,XNR_0010,10691,11548,-,TetR family transcriptional regulator C-terminal domain-containing protein,K,Op7
XNR_RS00055,XNR_RS00055,NC_020990.1,XNR_0011,11920,12510,+,TetR/AcrR family transcriptional regulator,K,Op8
XNR_RS00060,XNR_RS00060,NC_020990.1,XNR_0012,12520,13107,-,hypothetical protein,-,Op9
XNR_RS00065,XNR_RS00065,NC_020990.1,XNR_0013,13154,13507,-,glyoxalase,E,Op10
XNR_RS00070,XNR_RS00070,NC_020990.1,XNR_0014,13725,14153,+,VOC family protein,E,Op11
XNR_RS00075,XNR_RS00075,NC_020990.1,XNR_0015,14238,15794,-,MFS transporter,E,Op12
XNR_RS00080,XNR_RS00080,NC_020990.1,XNR_0016,15791,16633,-,thioesterase domain-containing protein,Q,Op12
XNR_RS00085,XNR_RS00085,NC_020990.1,XNR_0017,16626,17774,-,class II histone deacetylase,B,Op13
