gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH,synonym,name
XNR_RS03030,SCO4452,83.905,379,59,1,1,379,1,377,0,541,382,0.992146597,<=>,SCD6.30c,
XNR_RS03370,SCO0194,57.803,173,70,2,18,188,21,192,3.91E-59,182,194,0.891752577,<=>,SCJ12.06,
XNR_RS05170,SCO5820,88.224,518,46,6,3,512,1,511,0,839,512,1.01171875,<=>,SC5B8.10,hrdB
XNR_RS05970,SCO5621,90.036,281,25,2,1,279,1,280,0,503,279,1.007168459,<=>,SC2E1.38,whiG
XNR_RS07195,SCO5386,91.509,106,9,0,1,106,1,106,8.75E-65,189,107,0.990654206,<=>,2SC6G5.30,
XNR_RS07380,SCO0600,64.835,273,91,1,24,296,12,279,3.40E-126,359,298,0.916107383,<=>,SCF55.24,sig8
XNR_RS07755,SCO5244,91.912,136,11,0,1,136,1,136,2.09E-87,248,137,0.99270073,<=>,2SC7G11.06c,prs
XNR_RS07760,SCO5243,74.114,367,87,5,37,401,1,361,6.53E-170,477,401,0.91521197,<=>,2SC7G11.05c,sig1
XNR_RS07865,SCO5216,88.312,231,16,3,1,224,1,227,5.74E-147,406,224,1.03125,<=>,SC7E4.13,sigR
XNR_RS09750,SCO3067,81.416,113,21,0,1,113,1,113,7.68E-62,183,122,0.926229508,<=>,SCE25.08c,
XNR_RS09755,SCO3068,78.462,325,48,2,5,328,1,304,8.92E-176,487,328,0.990853659,<=>,SCE25.09,sig15
XNR_RS10635,SCO3202,87.988,333,38,2,1,332,1,332,0,575,332,1.003012048,<=>,SCE22.19c,hrdD
XNR_RS11170,SCO4410,74.194,124,32,0,1,124,3,126,6.54E-63,186,124,1,<=>,SC6F11.08,
XNR_RS12230,SCO7323,58.678,121,50,0,2,122,14,134,3.44E-41,131,126,0.96031746,<=>,SC4G10.02c,
XNR_RS12235,SCO7322,59.829,117,47,0,20,136,19,135,1.75E-37,122,138,0.847826087,<=>,SC4G10.01c,SC5F8.32c
XNR_RS12240,SCO7321,41.369,336,164,8,37,354,30,350,8.34E-56,184,356,0.943820225,<=>,SC5F8.31c,
XNR_RS13405,SCO3548,73.571,140,34,1,1,140,1,137,1.56E-53,163,142,0.985915493,<=>,SCH5.11c,
XNR_RS13410,SCO3549,93.805,113,7,0,1,113,1,113,9.56E-74,212,113,1,<=>,SCH5.12c,bldG
XNR_RS13665,SCO3613,90.155,193,12,2,1,193,1,186,3.80E-113,318,197,0.979695431,<=>,SC66T3.24c,
XNR_RS14315,SCO4035,93.307,254,17,0,40,293,33,286,2.06E-173,479,294,0.863945578,<=>,2SCD60.01c,sigF
XNR_RS14320,SCO4034,77.391,345,46,5,1,340,1,318,4.13E-179,496,340,1.014705882,<=>,2SC10A7.38c,
XNR_RS14400,SCO4005,84.713,157,23,1,30,185,1,157,3.68E-92,263,185,0.848648649,<=>,2SC10A7.09,
XNR_RS14850,SCO3892,80.702,228,41,1,11,238,12,236,4.50E-126,354,238,0.957983193,<=>,SCH24.14c,sigT
XNR_RS16255,SCO4996,43.636,165,90,3,1,163,1,164,6.30E-36,120,169,0.976331361,<=>,2SCK36.19c,
XNR_RS17300,SCO3356,88.889,162,18,0,4,165,2,163,1.20E-100,285,179,0.905027933,<=>,SCE94.07,
XNR_RS18855,SCO4769,92.821,195,10,1,31,221,1,195,1.17E-128,358,221,0.882352941,<=>,SCD63.01,
XNR_RS19540,SCO4866,82.063,223,35,2,1,221,1,220,3.27E-122,343,221,1.009049774,<=>,SCK20.07,
XNR_RS19730,SCO4895,78.528,326,69,1,22,347,9,333,0,514,374,0.871657754,<=>,2SCK8.21c,
XNR_RS22170,SCO2465,79.085,306,63,1,53,357,91,396,3.72E-158,447,357,0.857142857,<=>,SC7A8.04c,hrdA
XNR_RS25810,SCO0633,58.333,252,102,2,1,251,1,250,3.16E-80,239,251,1.003984064,<=>,SCF56.17,
XNR_RS25815,SCO0632,77.835,194,43,0,1,194,1,194,1.37E-100,286,194,1,<=>,SCF56.16,
XNR_RS26190,SCO1564,52.326,172,69,2,10,175,1,165,3.04E-35,119,183,0.93989071,<=>,SCL11.20c,
XNR_RS27425,SCO3709,59.873,157,62,1,14,170,17,172,4.65E-53,165,175,0.897142857,<=>,SCH35.15,
XNR_RS27905,SCO2742,77.815,302,64,2,3,304,17,315,4.29E-150,421,304,0.993421053,<=>,SCC57A.13c,
XNR_RS28030,SCO0942,81.176,170,31,1,16,184,15,184,1.93E-80,234,184,0.923913043,<=>,SCM10.30,
